Word,contradictory1,contradictory2,contradictory3,contradictory4,contradictory5,contradictory6,contradictory7,contradictory8,contradictory9,contradictory10,contradictory11,contradictory12,contradictory13,contradictory14,contradictory15,contradictory16,contradictory17,contradictory18,contradictory19,contradictory20,contradictory21,contradictory22,contradictory23,contradictory24,contradictory25,contradictory26,contradictory27,contradictory28,contradictory29,contradictory30,contradictory31
be configured by,be not configured by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be modified by,be not modified by,be still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be obtained by,be not obtained by,be given to,be lost,offer to,pay out,be not received by,,,,,,,,,,,,,,,,,,,,,,,,,
be perceived by,be not perceived by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be received by,be not received by,be refused by,be given to,be rejected by,pay out,be not obtained by,,,,,,,,,,,,,,,,,,,,,,,,,
be responsible for,be not responsible by,irresponsible,unreliable,trustless,,,,,,,,,,,,,,,,,,,,,,,,,,,
be transmitted by,be not transmitted by,be accepted by,be stopped by,say out,be ruined by,be quit by,,,,,,,,,,,,,,,,,,,,,,,,,
have,not have,refuse,abstain,lack,not have,defect,shortcoming,no,be short of,release,put,absence,disappear,,,,,,,,,,,,,,,,,,
help,not help,pullback,disturb,trouble,bother,interference,obstruct,distraction,obstruct,hinder,intervene,meddle,interpose,oppose,hamper,stop,thwart,bully,,,,,,,,,,,,,
include,not include,exclude,except,surface,appearance,,,,,,,,,,,,,,,,,,,,,,,,,,
receive,not receive,refuse,reject,resist,repel,give,abandon,lose,pay out,oppose,submit,present,discard,delivery,send,send out,pay,,,,,,,,,,,,,,
recognize,not recognize,deny,disavow,hide,conceal,cover up,lose,confuse,repudiate,disavow,denial,confound,,,,,,,,,,,,,,,,,,,
refuse,not refuse,admit,allow,accept,receive,consent,agree,respond,reply,consent,allow,permit,suffer,bear,stand,promise,agree,approval,adopt,tolerate,raise,propose,assume,sustain,admit,,,,,,
stop,not stop,continue,start,begin,break off,interrupt,suspend,interrupted,chopping,gap,start,handle,open,breathe,act,launch,initiate,continue,run,rush,flow,begin,proceed,march,indulge,allow,permit,propose,advocate,assist,recover
transmit,not transmit,accept,stop,say out,ruin,quit,,,,,,,,,,,,,,,,,,,,,,,,,
execute,stop,not excute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
correct,mistake,improper,not correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
need,deny,censure,negate,not need,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicate,not indicate,privary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the AGV1-control command,not in the AGV1-control command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avoid the obstacles,not avoid the obstacles,damage the obstacles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avoid the obstacles by the specific-task data 2,not avoid the obstacles by the specific-task data 2,damage the obstacles by the specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by the specific-task data 2,not by the specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
only,not only,entirely,completely,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merely,not merely,not only,completely,entirely,,,,,,,,,,,,,,,,,,,,,,,,,,,
continue tasks by the specific-task data 2,refuse tasks by the specific-task data2,not continue tasks by the specific-task data 2,stop tasks by the specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the specific-task data 2,not in the specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the safety-critical and security-critical specific-task data 2,not in the safety-critical or security-critical specific-task data 2,not in the safety-critical ,not in the security-critical specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,not complete,one-side,portion,part,locality,shortage,,,,,,,,,,,,,,,,,,,,,,,,,
available,not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be damaged by the obstacles,be not damaged by the obstacles,avoid the obstacles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be invaded  by the hackers,be not invaded by the hackers,be safe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slightly,partially,extremely,seriously,severity,not slightly,,,,,,,,,,,,,,,,,,,,,,,,,,
partially,slightly,extremely,seriously,severity,not partially,,,,,,,,,,,,,,,,,,,,,,,,,,
seriously,slightly,partially,causually,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maliciously,maliciously,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage the obstacles,not damaged the obstacles,avoid the obstacles,avoid the obstacles by the specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be not controlled by the hackers,be controlled by the hackers,be lost control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be controlled by the hackers,be not controlled by the hackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be lost control,be not controlled by the hackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
